amount,amount_log,hour,day_of_week,user_account_age_days,card_age_days,txn_count_7d,txn_count_30d,avg_amount_30d,std_amount_30d,amount_to_avg_ratio,failed_auths_24h,is_new_device,is_international,distance_km,ip_risk_score,email_risk_score,merchant_risk_category,time_since_last_txn_hrs,device_os_encoded,browser_encoded,feature_noise_1,feature_noise_2,feature_noise_3,feature_noise_4
415.4073,6.0317,9,1,189,489,10,32,182.2848,36.9794,2.2665,0,0,0,55.8451,0.3401,0.0845,2,24.36,0,2,-2.2683,-0.049,19.0,0.8704
37.6402,3.6543,9,4,3215,847,4,32,47.094,32.6422,0.7826,2,0,0,78.5111,0.2998,0.1457,1,22.0721,2,1,0.6959,1.0837,35.0,0.674
536.1022,6.2862,21,0,3396,1220,5,69,1098.1926,38.3499,0.4877,0,0,0,36.5552,0.2185,0.1796,0,13.262,2,5,-0.4222,0.7817,61.0,0.718
3.812,1.5711,7,5,2314,105,24,88,31.1367,7.8382,0.1186,0,1,0,82.4186,0.6698,0.174,2,5.5687,4,1,1.5136,-0.4958,40.0,0.0409
184.6835,5.224,22,3,1721,1995,15,7,34.4223,17.2281,5.2138,0,0,0,57.7744,0.2399,0.1968,1,17.3646,1,2,1.0769,-1.592,64.0,0.446
154.0606,5.0438,21,1,1699,1221,2,18,41.1472,102.761,3.6553,0,0,0,133.3093,0.5649,0.3425,0,9.7929,4,4,-0.669,0.9631,72.0,0.1747
9.8845,2.3873,10,2,1256,228,17,8,89.9463,7.2892,0.1087,0,0,1,4.3078,0.2663,0.1629,0,50.2924,2,0,-0.6758,-1.466,57.0,0.4232
4.5067,1.706,12,3,1996,94,16,29,12.9439,35.6169,0.3232,0,1,0,9.6968,0.1515,0.0691,2,13.0672,2,1,-0.4379,0.0461,92.0,0.2892
169.7789,5.1404,1,1,3526,1736,13,60,22.0864,3.5141,7.3541,0,1,0,19.366,0.436,0.2453,2,73.5169,0,6,1.005,-1.1114,58.0,0.4038
21.4116,3.1096,14,6,1509,345,13,86,33.32,42.9279,0.6239,1,1,0,4.1565,0.1899,0.2424,0,37.8443,0,7,-0.2674,0.9704,68.0,0.1444
4.9747,1.7875,21,5,851,354,22,88,85.3479,5.9804,0.0576,0,0,0,16.5519,0.5048,0.0269,0,26.1276,3,7,0.6743,-1.625,4.0,0.1847
4.1965,1.648,22,1,1107,1266,5,41,26.092,7.0594,0.1549,0,0,0,120.8563,0.0106,0.2407,1,5.1372,2,2,0.8628,-1.0711,75.0,0.7051
9.2138,2.3237,11,4,1581,1653,15,49,9.736,28.2452,0.8582,3,1,0,120.0416,0.2245,0.4135,1,26.1942,2,7,0.9254,0.003,82.0,0.3162
538.4523,6.2906,16,3,1067,412,8,42,43.7333,23.1057,12.0369,0,0,0,108.4179,0.5009,0.4499,1,34.385,1,6,-1.3645,0.9492,10.0,0.6456
51.3809,3.9585,9,6,1157,1116,13,55,20.2267,8.9136,2.4206,0,0,1,82.1153,0.5133,0.3666,3,124.3966,0,4,0.8046,-1.0787,49.0,0.5776
100.0,4.6151,0,6,1590,121,6,24,64.8249,30.5082,1.5192,0,0,1,797.9903,0.4771,0.2989,4,76.4366,0,1,0.0772,0.2798,15.0,0.1141
2.8611,1.351,14,4,3388,930,9,88,22.0461,15.4119,0.1241,0,0,0,13.2235,0.0768,0.4352,1,29.1078,0,5,-1.4363,-1.5426,28.0,0.4218
101.8687,4.6335,22,6,28,221,9,80,3.5248,10.8036,22.5134,0,1,0,78.8814,0.6586,0.2501,0,2.4443,3,5,-0.0004,1.0835,12.0,0.7357
22.9683,3.1767,19,5,1327,1568,2,80,8.6719,10.2341,2.3748,0,0,1,118.1202,0.31,0.4072,0,19.4765,2,7,-0.5005,-0.4173,95.0,0.242
139.471,4.945,17,1,2431,48,2,80,750.6142,25.6598,0.1856,0,1,1,11.0031,0.1352,0.0442,1,2.2908,1,1,0.1874,-1.7116,87.0,0.8831
217.3597,5.3861,14,0,48,34,3,3,67.3117,45.8042,3.1819,2,1,0,35.5948,0.4048,0.3615,4,11.9473,4,2,0.5845,-0.7356,31.0,0.4051
5.8725,1.9275,21,4,1273,56,14,21,92.077,1.7026,0.0631,0,0,0,43.8101,0.6406,0.4213,0,54.5389,4,5,-1.7803,-0.1526,24.0,0.5305
11.922,2.5589,8,2,2647,829,14,16,33.208,9.3933,0.3485,0,0,0,28.4178,0.2999,0.2903,2,19.7856,0,6,-1.0259,-0.6406,18.0,0.6992
370.549,5.9177,12,2,402,523,21,77,25.9762,6.5808,13.7362,0,0,0,92.8137,0.304,0.2442,0,6.914,0,1,1.9945,1.6852,32.0,0.712
984.1323,6.8928,13,5,3633,401,24,61,433.9994,80.2557,2.2624,0,0,0,9.8024,0.1114,0.0388,0,8.4664,4,0,-2.8126,-0.9856,20.0,0.3315
9.1867,2.3211,3,2,1189,69,104,111,10.3303,4.8405,0.8108,2,0,0,63.7168,0.2807,0.2364,0,0.4712,4,4,-0.7921,0.6383,39.0,0.1987
7.0498,2.0857,10,3,1738,886,20,73,20.4249,10.1394,0.329,0,0,0,35.8976,0.3902,0.1847,2,14.2782,2,7,0.1746,0.1749,20.0,0.4927
722.9511,6.5847,14,2,294,1557,14,80,25.8816,2.1994,26.8939,0,0,0,6.8399,0.035,0.2029,4,46.1402,0,2,0.8272,-0.5136,33.0,0.6815
4.8031,1.7584,9,1,387,1558,24,17,56.4678,66.4898,0.0836,0,0,0,118.0626,0.3769,0.4364,0,16.6672,4,4,-0.7541,0.308,33.0,0.3084
4.809,1.7594,23,6,1491,28,45,61,3.7544,4.6316,1.0115,0,1,0,51.0412,0.5185,0.0994,3,0.5968,4,4,0.4496,-0.6533,56.0,0.0357
247.0181,5.5135,8,1,2360,1428,1,40,28.686,49.561,8.321,0,0,1,73.2058,0.6749,0.3721,0,15.1621,3,3,0.5209,0.2781,8.0,0.5913
103.7784,4.6518,8,5,759,1139,23,88,72.9786,2.6856,1.4028,0,0,0,118.1709,0.0598,0.6049,2,20.6502,4,7,-0.0604,-0.2996,69.0,0.185
113.3183,4.739,14,4,988,824,8,12,51.7985,43.9314,2.1462,2,0,0,30.4001,0.0472,0.2882,0,38.3099,2,3,0.0493,-0.1281,89.0,0.2587
18.0061,2.9448,9,1,1538,763,7,60,30.7781,12.6093,0.5666,2,0,0,29.9512,0.3581,0.0713,0,18.8688,0,6,1.1103,-0.1141,47.0,0.9058
100.0,4.6151,20,6,1843,395,3,20,47.0525,125.6203,2.0811,1,0,0,1403.5124,0.1412,0.5646,3,163.4413,4,4,-1.3935,1.131,99.0,0.3788
74.1934,4.3201,17,1,1169,164,12,64,2.0693,26.6231,24.1726,0,0,0,11.2314,0.14,0.0572,0,4.0897,2,5,1.9852,-1.1255,77.0,0.2741
2.6669,1.2993,9,2,122,1754,18,3,7.2895,1.6631,0.3217,0,0,0,37.2112,0.1826,0.2771,1,40.3896,3,5,0.6109,0.4649,83.0,0.2838
48.6052,3.9041,17,0,3322,1879,23,51,21.7892,47.3949,2.1328,1,0,0,10.7505,0.2179,0.1081,0,107.9371,4,0,0.392,-0.0803,34.0,0.3925
